,phone_model,phone_display,phone_camera,phone_battery,phone_processor,phone_warrenty,phone_rating
0,"Google Pixel 6a (Chalk, 128 GB)",15.6 cm (6.14 inch) Full HD+ Display,12.2MP + 12MP | 8MP Front Camera,4410 mAh Battery,Google Tensor Processor,1 Year Brand Warranty,4.3
1,"Google Pixel 6a (Charcoal, 128 GB)",15.6 cm (6.14 inch) Full HD+ Display,12.2MP + 12MP | 8MP Front Camera,4410 mAh Battery,Google Tensor Processor,1 Year Brand Warranty,4.3
2,"Google Pixel 7a (Snow, 128 GB)",15.49 cm (6.1 inch) Full HD+ Display,64MP (OIS) + 13MP | 13MP Front Camera,4300 mAh Battery,Tensor G2 Processor,1 Year Domestic Warranty,4.3
3,"Google Pixel 7a (Charcoal, 128 GB)",15.49 cm (6.1 inch) Full HD+ Display,64MP (OIS) + 13MP | 13MP Front Camera,4300 mAh Battery,Tensor G2 Processor,1 Year Domestic Warranty,4.3
4,"Google Pixel 7a (Sea, 128 GB)",15.49 cm (6.1 inch) Full HD+ Display,64MP (OIS) + 13MP | 13MP Front Camera,4300 mAh Battery,Tensor G2 Processor,1 Year Domestic Warranty,4.3
5,"Google Pixel 7 (Snow, 128 GB)",16.0 cm (6.3 inch) Full HD+ Display,50MP + 12MP | 10.8MP Front Camera,4270 mAh Battery,Google Tensor G2 Processor,1 Year Domestic Warranty,4.4
6,"Google Pixel 7 (Obsidian, 128 GB)",16.0 cm (6.3 inch) Full HD+ Display,50MP + 12MP | 10.8MP Front Camera,4270 mAh Battery,Google Tensor G2 Processor,1 Year Domestic Warranty,4.4
7,"Google Pixel 7 (Lemongrass, 128 GB)",16.0 cm (6.3 inch) Full HD+ Display,50MP + 12MP | 10.8MP Front Camera,4270 mAh Battery,Google Tensor G2 Processor,1 Year Domestic Warranty,4.4
8,"Google Pixel 7 Pro (Obsidian, 128 GB)",17.02 cm (6.7 inch) Quad HD+ Display,50MP + 48MP + 12MP | 10.8MP Front Camera,4926 mAh Battery,Google Tensor G2 Processor,1 Year Domestic Warranty,4.4
9,"Google Pixel 7 Pro (Snow, 128 GB)",17.02 cm (6.7 inch) Quad HD+ Display,50MP + 48MP + 12MP | 10.8MP Front Camera,4926 mAh Battery,Google Tensor G2 Processor,1 Year Domestic Warranty,4.4
10,"Google Pixel 7 Pro (Hazel, 128 GB)",17.02 cm (6.7 inch) Quad HD+ Display,50MP + 48MP + 12MP | 10.8MP Front Camera,4926 mAh Battery,Google Tensor G2 Processor,1 Year Domestic Warranty,4.4
11,"Google Pixel 3A (Purple-ish, 64 GB)",14.22 cm (5.6 inch) HD+ Display,12.2MP Rear Camera,3000 mAh Battery,Qualcomm SDM670 Snapdragon 670 (10 nm) Processor,1 Year Warranty,4.5
12,"Google Pixel 3A (Just Black, 64 GB)",14.22 cm (5.6 inch) HD+ Display,12.2MP Rear Camera,3000 mAh Battery,Qualcomm SDM670 Snapdragon 670 (10 nm) Processor,1 Year Warranty,4.5
